0	4 5
1	5
2	0 4
3	0 4
4	2
5	0 4
6	2
7	2 5
8	0 4
9	3 4
10	5
11	2 0 5
12	0
13	2 4
14	3
15	2
16	1
17	0
18	0
19	1 5
20	1
21	0 5
22	0
23	0 4
24	2
25	2 5
26	4
27	0
28	0
29	0 4
30	5
31	5
32	0 4
33	2 1
34	2 3 4
35	2
36	0
37	4
38	2 1
39	2
40	0
41	0
42	2 5
43	2
44	3
45	0 3 4
46	0 4
47	2 5
48	2
49	0 4 5
50	1
51	4
52	0
53	4 5
54	2
55	2 4 5
56	0 4
57	4 5
58	0 4
59	0
60	5
61	0 4
62	0
63	0
64	2 4
65	5
66	5
67	2 0
68	3
69	2 4 5
70	5
71	2 5 1
72	2 0
73	2
74	2 0
75	5
76	2 5
77	2 1
78	2 1
79	4
80	3
81	0
82	0 4
83	0
84	3 4
85	2
86	0 4
87	3
88	0
89	0 4
90	3 1
91	2 1
92	0
93	0
94	4
95	2
96	0
97	2 5 1
98	4 5
99	0
100	3
101	0
102	0 4
103	2
104	4 5
105	4
106	2 0 4
107	0 4
108	5
109	0 4
110	0
111	2
112	0 4
113	3
114	4
115	4 1
116	0 4 5
117	2 5 1
118	0
119	4
120	0
121	3 1
122	0 4
123	0 4
124	2
125	0 4
126	2 1
127	2
128	0 4
129	0 4
130	0
131	0
132	2
133	3
134	2
135	2 5 1
136	4
137	4
138	2 4 1
139	3
140	5 1
141	3 1
142	2 1
143	0 4
144	5
145	0
146	2
147	0 4
148	2
149	0 4
150	0 4
151	2 4
152	0 4
153	0 5
154	5
155	3
156	2 4
157	4 5
158	2 4
159	0 4
160	2
161	2 0
162	0 4
163	2 1
164	2 0 4 5
165	0
166	0 3
167	2
168	2 4
169	0
170	2 5
171	0
172	2
173	3
174	4
175	2 4
176	5
177	2
178	0
179	3 1
180	0
181	4
182	4 5
183	2 5
184	4 1
185	2 4
186	0 4
187	4
188	2 5 1
189	0 4
190	0 4
191	4
192	0
193	0 4
194	5
195	0 2 5
196	2 5
197	2 5
198	2
199	2 4
200	4
201	0 4
202	0
203	2
204	2
205	2 5 1
206	2 4 5
207	0
208	2
